predictions,mean rating,number of ratings,title
4.295198206155838,4.28,25,Logan (2017)
3.9874767305720695,4.252336448598131,107,"Departed, The (2006)"
4.4083526777547615,4.238255033557047,149,"Dark Knight, The (2008)"
4.848435623909732,4.22093023255814,43,"Boondock Saints, The (2000)"
4.3758465894181,4.155172413793103,87,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
4.8659772830859165,4.118918918918919,185,"Lord of the Rings: The Return of the King, The (2003)"
4.192498579704353,4.117647058823529,34,"Lives of Others, The (Das leben der Anderen) (2006)"
3.96005220691221,4.109090909090909,55,Toy Story 3 (2010)
4.106717929373276,4.089743589743589,39,Old Boy (2003)
4.83955035479526,4.066433566433567,143,Inception (2010)
3.9019668892661263,4.0588235294117645,34,"Hurt Locker, The (2008)"
4.8479865252488015,4.0576923076923075,104,WALL·E (2008)
4.020607159157912,4.0508474576271185,59,Guardians of the Galaxy (2014)
3.9153525649792678,4.0476190476190474,21,Captain Phillips (2013)
4.029046850489709,4.0394736842105265,38,Whiplash (2014)
4.6048868007786705,4.033783783783784,74,Lost in Translation (2003)
4.804848119649751,4.022388059701493,67,Shutter Island (2010)
4.0009319995293975,4.0,48,The Martian (2015)
4.192157639487082,4.0,61,Hot Fuzz (2007)
4.375937819937477,3.993421052631579,76,"Dark Knight Rises, The (2012)"
4.974476154757852,3.993150684931507,73,Interstellar (2014)
4.056769208515826,3.98936170212766,47,Harry Potter and the Deathly Hallows: Part 1 (2010)
4.1465421204569575,3.945652173913043,46,Gran Torino (2008)
4.136797079988461,3.943661971830986,71,Django Unchained (2012)
4.076869699116537,3.943396226415094,53,How to Train Your Dragon (2010)
4.063860218823506,3.9382352941176473,170,Gladiator (2000)
3.967387454672559,3.934782608695652,23,Amores Perros (Love's a Bitch) (2000)
3.925419349395021,3.933333333333333,30,Battle Royale (Batoru rowaiaru) (2000)
4.524146246939662,3.921875,96,Requiem for a Dream (2000)
4.820240613827434,3.9166666666666665,54,"Wolf of Wall Street, The (2013)"
4.1511384696740325,3.9107142857142856,28,Ex Machina (2015)
4.053975034420668,3.91,50,Harry Potter and the Deathly Hallows: Part 2 (2011)
4.665285637263589,3.9,70,Traffic (2000)
4.064684337711954,3.8859649122807016,57,"Social Network, The (2010)"
4.194411495965445,3.8773584905660377,53,Zombieland (2009)
4.307821744459897,3.871212121212121,132,"Monsters, Inc. (2001)"
4.440765527734463,3.869565217391304,69,"Avengers, The (2012)"
4.192520513992071,3.868181818181818,110,Kill Bill: Vol. 2 (2004)
3.937475256607366,3.867469879518072,83,Almost Famous (2000)
4.288181757185868,3.857142857142857,84,Sin City (2005)
3.921485373243182,3.8536585365853657,41,Star Wars: Episode VII - The Force Awakens (2015)
4.200876829277539,3.8333333333333335,54,Deadpool (2016)
4.38789420739966,3.7788461538461537,52,"Grand Budapest Hotel, The (2014)"
3.9985462092956476,3.778523489932886,149,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
4.259869523199471,3.769230769230769,65,Juno (2007)
4.107119101465273,3.763157894736842,38,Sherlock Holmes: A Game of Shadows (2011)
3.9852468835530086,3.756410256410256,39,Mean Girls (2004)
4.065808120930557,3.7439024390243905,41,Remember the Titans (2000)
3.951482209123329,3.692307692307693,39,Elf (2003)
4.13715453306631,3.683823529411765,68,"Royal Tenenbaums, The (2001)"
3.9455614265724943,3.68125,80,300 (2007)
4.724038446611958,3.629032258064516,31,Life of Pi (2012)
4.832590825755251,3.5980392156862746,102,Harry Potter and the Chamber of Secrets (2002)
4.093732277287254,3.4294871794871793,78,Star Wars: Episode III - Revenge of the Sith (2005)
